,Year,Historical
150,1900,6.053521
151,1901,6.226141999999999
152,1902,6.343285
153,1903,6.592014999999999
154,1904,6.6672720000000005
155,1905,6.854429
156,1906,7.0036369999999994
157,1907,7.376653999999999
158,1908,7.275637
159,1909,7.4219550000000005
160,1910,7.476471000000001
161,1911,7.507427000000001
162,1912,7.6123270000000005
163,1913,7.8529
164,1914,7.455626
165,1915,7.3747240000000005
166,1916,7.590375999999999
167,1917,7.728275
168,1918,7.676414
169,1919,7.2133210000000005
170,1920,7.894786
171,1921,7.572951
172,1922,7.808739999999999
173,1923,8.28299
174,1924,8.32959
175,1925,8.380347
176,1926,8.338774
177,1927,8.694155
178,1928,8.711089999999999
179,1929,9.003256
180,1930,8.907413
181,1931,8.634591
182,1932,8.374578999999999
183,1933,8.645301
184,1934,9.012561
185,1935,9.261991
186,1936,9.704858999999999
187,1937,10.041638
188,1938,9.809198
189,1939,10.057065
190,1940,10.556952
191,1941,10.763668
192,1942,10.761571
193,1943,10.91023
194,1944,10.837807000000002
195,1945,9.948428
196,1946,10.310253999999999
197,1947,10.776959
198,1948,10.986811999999999
199,1949,10.633052000000001
200,1950,11.595248
201,1951,12.234672999999999
202,1952,12.391385000000001
203,1953,12.673364999999999
204,1954,12.922786
205,1955,13.665104000000001
206,1956,14.263379
207,1957,14.624423
208,1958,14.969281
209,1959,15.489944
210,1960,15.397863000000001
211,1961,15.135482999999999
212,1962,15.291398000000001
213,1963,15.624988
214,1964,15.963017
215,1965,16.275062
216,1966,16.636826
217,1967,16.929388
218,1968,17.575582999999998
219,1969,18.451945000000002
220,1970,19.499624
221,1971,20.008592999999998
222,1972,20.614542
223,1973,21.38644
224,1974,21.187664
225,1975,21.082867
226,1976,21.926295
227,1977,22.348883999999998
228,1978,22.883543
229,1979,23.289642999999998
230,1980,23.366101
231,1981,22.902114
232,1982,22.818448999999998
233,1983,23.152292000000003
234,1984,23.84256
235,1985,24.608135
236,1986,25.025178
237,1987,25.824408
238,1988,26.692503000000002
239,1989,27.120986
240,1990,27.510790999999998
241,1991,27.978436
242,1992,27.285318
243,1993,27.526963000000002
244,1994,27.666012
245,1995,28.105649
246,1996,28.738025
247,1997,30.6064
248,1998,28.500498999999998
249,1999,28.711909000000002
250,2000,30.068131
251,2001,30.025266
252,2002,31.271594
253,2003,32.735702
254,2004,33.862726
255,2005,34.412602
256,2006,35.569639
257,2007,35.809665
258,2008,36.752056
259,2009,37.043836
260,2010,38.224529
261,2011,39.188828
262,2012,40.17197
263,2013,40.523658000000005
264,2014,41.303965999999996
265,2015,41.48036
266,2016,41.012741
267,2017,41.193001
268,2018,42.101177
269,2019,42.332384000000005
270,2020,
271,2021,
272,2022,
273,2023,
274,2024,
275,2025,
276,2026,
277,2027,
278,2028,
279,2029,
280,2030,
281,2031,
282,2032,
283,2033,
284,2034,
285,2035,
286,2036,
287,2037,
288,2038,
289,2039,
290,2040,
291,2041,
292,2042,
293,2043,
294,2044,
295,2045,
296,2046,
297,2047,
298,2048,
299,2049,
300,2050,
301,2051,
302,2052,
303,2053,
304,2054,
305,2055,
306,2056,
307,2057,
308,2058,
309,2059,
310,2060,
311,2061,
312,2062,
313,2063,
314,2064,
315,2065,
316,2066,
317,2067,
318,2068,
319,2069,
320,2070,
321,2071,
322,2072,
323,2073,
324,2074,
325,2075,
326,2076,
327,2077,
328,2078,
329,2079,
330,2080,
331,2081,
332,2082,
333,2083,
334,2084,
335,2085,
336,2086,
337,2087,
338,2088,
339,2089,
340,2090,
341,2091,
342,2092,
343,2093,
344,2094,
345,2095,
346,2096,
347,2097,
348,2098,
349,2099,
350,2100,
