,year,United States co2 emission,United States gdp
0,1800.0,252816.0,1980.0
1,1801.0,267472.0,2017.0
2,1802.0,289456.0,2050.0
3,1803.0,296784.0,2015.0
4,1804.0,333424.0,2014.0
5,1805.0,340752.0,2056.0
6,1806.0,333424.0,2094.0
7,1807.0,377392.0,2114.0
8,1808.0,392048.0,1965.0
9,1809.0,403040.0,2062.0
10,1810.0,417696.0,2120.0
11,1811.0,447008.0,2163.0
12,1812.0,483648.0,2125.0
13,1813.0,520288.0,2149.0
14,1814.0,560592.0,2190.0
15,1815.0,600896.0,2180.0
16,1816.0,663184.0,2092.0
17,1817.0,718144.0,2091.0
18,1818.0,780432.0,2097.0
19,1819.0,762112.0,2092.0
20,1820.0,791424.0,2080.0
21,1821.0,828064.0,2113.0
22,1822.0,864704.0,2171.0
23,1823.0,901344.0,2147.0
24,1824.0,1014928.0,2205.0
25,1825.0,1135840.0,2254.0
26,1826.0,1315376.0,2270.0
27,1827.0,1447280.0,2279.0
28,1828.0,1593840.0,2279.0
29,1829.0,1795360.0,2204.0
30,1830.0,2088480.0,2364.0
31,1831.0,2264352.0,2509.0
32,1832.0,3022800.0,2600.0
33,1833.0,3528432.0,2691.0
34,1834.0,3381872.0,2562.0
35,1835.0,4316192.0,2660.0
36,1836.0,4730224.0,2699.0
37,1837.0,5305472.0,2614.0
38,1838.0,5030672.0,2591.0
39,1839.0,5517984.0,2717.0
40,1840.0,5873392.0,2583.0
41,1841.0,6214144.0,2529.0
42,1842.0,6917632.0,2507.0
43,1843.0,7764016.0,2547.0
44,1844.0,9306560.0,2685.0
45,1845.0,11204512.0,2728.0
46,1846.0,12710416.0,2743.0
47,1847.0,15070032.0,2816.0
48,1848.0,16784784.0,2888.0
49,1849.0,18221072.0,2814.0
50,1850.0,19792928.0,2825.0
51,1851.0,24633072.0,2940.0
52,1852.0,26791168.0,3089.0
53,1853.0,30162048.0,3300.0
54,1854.0,33159200.0,3310.0
55,1855.0,38160560.0,3237.0
56,1856.0,40036528.0,3305.0
57,1857.0,41055120.0,3233.0
58,1858.0,41648688.0,3248.0
59,1859.0,45320016.0,3336.0
60,1860.0,47437808.0,3425.0
61,1861.0,45679088.0,3354.0
62,1862.0,47448800.0,3459.0
63,1863.0,54809776.0,3683.0
64,1864.0,58656976.0,3804.0
65,1865.0,58821856.0,3607.0
66,1866.0,59232224.0,3579.0
67,1867.0,72865968.0,3697.0
