,country,correlation
0,United States,0.9706543204796013
1,Japan,0.9811165579592385
2,United Kingdom,0.7015087173036074
3,Germany,0.7487153048829069
4,France,0.8649786895680159
5,Italy,0.9568135194946934
6,Canada,0.9868749741176259
7,Switzerland,0.9067469432392407
8,Belgium,0.773268725805925
9,Netherlands,0.9154418095257277
10,Finland,0.9376943557677618
11,Norway,0.8822997379400543
12,Denmark,0.8459607097278367
13,Sweden,0.7631692699886377
14,Greece,0.9834387348089249
15,Iceland,0.9357893847413591
16,Portugal,0.9648893770312414
17,Spain,0.9493773232185078
18,Austria,0.8638712881128127
19,Australia,0.9859871837938096
20,Ireland,0.9022986979026948
21,South Africa,0.9321288193763219
