Entity,Code,Year,Cement (tonnes),Flaring (tonnes),Oil (tonnes),Coal (tonnes),Gas (tonnes)
Afghanistan,AFG,1949,0,0,0,14656,0
Afghanistan,AFG,1950,0,0,65952,21984,0
Afghanistan,AFG,1951,0,0,65952,25648,0
Afghanistan,AFG,1952,0,0,62288,32976,0
Afghanistan,AFG,1953,0,0,65952,36640,0
Afghanistan,AFG,1954,0,0,65952,43968,0
Afghanistan,AFG,1955,0,0,91600,62288,0
Afghanistan,AFG,1956,0,0,120912,62288,0
Afghanistan,AFG,1957,0,0,216176,76944,0
Afghanistan,AFG,1958,0,0,238160,91600,0
Afghanistan,AFG,1959,18320,0,256480,109920,0
Afghanistan,AFG,1960,18320,0,271136,128240,0
Afghanistan,AFG,1961,21984,0,293120,175872,0
Afghanistan,AFG,1962,29312,0,362736,296784,0
Afghanistan,AFG,1963,51296,0,392048,263808,0
Afghanistan,AFG,1964,62288,0,476320,300448,0
Afghanistan,AFG,1965,84272,0,542272,381056,0
Afghanistan,AFG,1966,87936,0,575248,428688,0
Afghanistan,AFG,1967,65952,0,556928,399376,260144
Afghanistan,AFG,1968,47632,0,498304,333424,348080
Afghanistan,AFG,1969,51296,0,527616,362736,0
Afghanistan,AFG,1970,47632,296784,670512,436016,216176
Afghanistan,AFG,1971,43968,304112,747456,359072,439680
Afghanistan,AFG,1972,47632,366400,626544,190528,300448
Afghanistan,AFG,1973,69616,223504,703488,311440,333424
Afghanistan,AFG,1974,73280,366400,769440,304112,399376
Afghanistan,AFG,1975,73280,304112,875696,399376,476320
Afghanistan,AFG,1976,84272,293120,883024,425024,300448
Afghanistan,AFG,1977,69616,381056,974624,450672,512960
Afghanistan,AFG,1978,62288,282128,934320,575248,300448
Afghanistan,AFG,1979,69616,267472,1165152,351744,384720
Afghanistan,AFG,1980,25648,304112,923328,315104,186864
Afghanistan,AFG,1981,36640,293120,1014928,333424,304112
Afghanistan,AFG,1982,43968,282128,992944,384720,395712
Afghanistan,AFG,1983,7328,293120,1220112,384720,615552
Afghanistan,AFG,1984,54960,315104,1132176,392048,930656
Afghanistan,AFG,1985,36640,329760,1546208,399376,1190800
Afghanistan,AFG,1986,43968,329760,1139504,425024,1201792
Afghanistan,AFG,1987,51296,223504,2015200,443344,392048
Afghanistan,AFG,1988,51296,186864,1821008,366400,439680
Afghanistan,AFG,1989,51296,40304,1864976,337088,479984
Afghanistan,AFG,1990,54960,25648,1850320,278464,403040
Afghanistan,AFG,1991,54960,25648,1718416,249152,388384
Afghanistan,AFG,1992,58624,21984,926992,21984,362736
Afghanistan,AFG,1993,58624,21984,894016,18320,351744
Afghanistan,AFG,1994,58624,21984,857376,14656,337088
Afghanistan,AFG,1995,58624,21984,824400,14656,322432
Afghanistan,AFG,1996,58624,21984,780432,7328,307776
Afghanistan,AFG,1997,58624,21984,725472,3664,282128
Afghanistan,AFG,1998,58624,21984,688832,3664,263808
Afghanistan,AFG,1999,58624,21984,494640,3664,241824
Afghanistan,AFG,2000,25648,21984,498304,3664,223504
Afghanistan,AFG,2001,25648,21984,490976,69616,208848
Afghanistan,AFG,2002,29312,0,439680,54960,545936
Afghanistan,AFG,2003,36640,0,600896,91600,465328
Afghanistan,AFG,2004,36640,0,593568,91600,227168
Afghanistan,AFG,2005,29312,0,861040,106256,329760
Afghanistan,AFG,2006,25648,0,1135840,161216,329760
Afghanistan,AFG,2007,14656,0,1198128,747456,307776
Afghanistan,AFG,2008,18320,0,2810288,1077216,296784
Afghanistan,AFG,2009,14656,0,4942736,1535216,271136
Afghanistan,AFG,2010,18320,0,5866064,2297328,271136
Afghanistan,AFG,2011,18320,0,7602800,4301536,307776
Afghanistan,AFG,2012,18320,0,6756416,3664000,307776
Afghanistan,AFG,2013,25648,0,5745152,3938800,296784
Afghanistan,AFG,2014,51296,0,5103952,4374816,271136
Africa,,1751,0,0,0,0,0
Africa,,1752,0,0,0,0,0
Africa,,1753,0,0,0,0,0
Africa,,1754,0,0,0,0,0
Africa,,1755,0,0,0,0,0
Africa,,1756,0,0,0,0,0
Africa,,1757,0,0,0,0,0
Africa,,1758,0,0,0,0,0
Africa,,1759,0,0,0,0,0
Africa,,1760,0,0,0,0,0
Africa,,1761,0,0,0,0,0
Africa,,1762,0,0,0,0,0
Africa,,1763,0,0,0,0,0
Africa,,1764,0,0,0,0,0
Africa,,1765,0,0,0,0,0
Africa,,1766,0,0,0,0,0
Africa,,1767,0,0,0,0,0
Africa,,1768,0,0,0,0,0
Africa,,1769,0,0,0,0,0
Africa,,1770,0,0,0,0,0
Africa,,1771,0,0,0,0,0
Africa,,1772,0,0,0,0,0
Africa,,1773,0,0,0,0,0
Africa,,1774,0,0,0,0,0
Africa,,1775,0,0,0,0,0
Africa,,1776,0,0,0,0,0
Africa,,1777,0,0,0,0,0
Africa,,1778,0,0,0,0,0
Africa,,1779,0,0,0,0,0
Africa,,1780,0,0,0,0,0
Africa,,1781,0,0,0,0,0
Africa,,1782,0,0,0,0,0
Africa,,1783,0,0,0,0,0
Africa,,1784,0,0,0,0,0
Africa,,1785,0,0,0,0,0
Africa,,1786,0,0,0,0,0
Africa,,1787,0,0,0,0,0
Africa,,1788,0,0,0,0,0
Africa,,1789,0,0,0,0,0
Africa,,1790,0,0,0,0,0
Africa,,1791,0,0,0,0,0
Africa,,1792,0,0,0,0,0
Africa,,1793,0,0,0,0,0
Africa,,1794,0,0,0,0,0
Africa,,1795,0,0,0,0,0
Africa,,1796,0,0,0,0,0
Africa,,1797,0,0,0,0,0
Africa,,1798,0,0,0,0,0
Africa,,1799,0,0,0,0,0
Africa,,1800,0,0,0,0,0
Africa,,1801,0,0,0,0,0
Africa,,1802,0,0,0,0,0
Africa,,1803,0,0,0,0,0
Africa,,1804,0,0,0,0,0
Africa,,1805,0,0,0,0,0
Africa,,1806,0,0,0,0,0
Africa,,1807,0,0,0,0,0
Africa,,1808,0,0,0,0,0
Africa,,1809,0,0,0,0,0
Africa,,1810,0,0,0,0,0
Africa,,1811,0,0,0,0,0
Africa,,1812,0,0,0,0,0
Africa,,1813,0,0,0,0,0
Africa,,1814,0,0,0,0,0
Africa,,1815,0,0,0,0,0
Africa,,1816,0,0,0,0,0
Africa,,1817,0,0,0,0,0
Africa,,1818,0,0,0,0,0
Africa,,1819,0,0,0,0,0
Africa,,1820,0,0,0,0,0
Africa,,1821,0,0,0,0,0
Africa,,1822,0,0,0,0,0
Africa,,1823,0,0,0,0,0
Africa,,1824,0,0,0,0,0
Africa,,1825,0,0,0,0,0
Africa,,1826,0,0,0,0,0
Africa,,1827,0,0,0,0,0
Africa,,1828,0,0,0,0,0
Africa,,1829,0,0,0,0,0
Africa,,1830,0,0,0,0,0
Africa,,1831,0,0,0,0,0
Africa,,1832,0,0,0,0,0
Africa,,1833,0,0,0,0,0
Africa,,1834,0,0,0,0,0
Africa,,1835,0,0,0,0,0
Africa,,1836,0,0,0,0,0
Africa,,1837,0,0,0,0,0
Africa,,1838,0,0,0,0,0
Africa,,1839,0,0,0,0,0
Africa,,1840,0,0,0,0,0
Africa,,1841,0,0,0,0,0
Africa,,1842,0,0,0,0,0
Africa,,1843,0,0,0,0,0
Africa,,1844,0,0,0,0,0
Africa,,1845,0,0,0,0,0
Africa,,1846,0,0,0,0,0
Africa,,1847,0,0,0,0,0
Africa,,1848,0,0,0,0,0
Africa,,1849,0,0,0,0,0
Africa,,1850,0,0,0,0,0
Africa,,1851,0,0,0,0,0
Africa,,1852,0,0,0,0,0
Africa,,1853,0,0,0,0,0
Africa,,1854,0,0,0,0,0
Africa,,1855,0,0,0,0,0
Africa,,1856,0,0,0,0,0
Africa,,1857,0,0,0,0,0
Africa,,1858,0,0,0,0,0
Africa,,1859,0,0,0,0,0
Africa,,1860,0,0,0,0,0
Africa,,1861,0,0,0,0,0
Africa,,1862,0,0,0,0,0
Africa,,1863,0,0,0,0,0
Africa,,1864,0,0,0,0,0
Africa,,1865,0,0,0,0,0
Africa,,1866,0,0,0,0,0
Africa,,1867,0,0,0,0,0
Africa,,1868,0,0,0,0,0
Africa,,1869,0,0,0,0,0
Africa,,1870,0,0,0,0,0
Africa,,1871,0,0,0,0,0
Africa,,1872,0,0,0,0,0
Africa,,1873,0,0,0,0,0
Africa,,1874,0,0,0,0,0
Africa,,1875,0,0,0,0,0
Africa,,1876,0,0,0,0,0
Africa,,1877,0,0,0,0,0
Africa,,1878,0,0,0,0,0
Africa,,1879,0,0,0,0,0
Africa,,1880,0,0,0,0,0
Africa,,1881,0,0,0,0,0
