,year,China co2 emission,China gdp
0,1911.0,27846400.0,804.0
1,1912.0,9786544.0,842.0
2,1913.0,10757504.0,881.0
3,1929.0,35819264.0,950.0
4,1930.0,37922400.0,962.0
5,1931.0,40260032.0,968.0
6,1932.0,38600240.0,994.0
7,1933.0,42216608.0,886.0
8,1934.0,49273472.0,902.0
9,1935.0,57627392.0,973.0
10,1936.0,65039664.0,1028.0
11,1937.0,60576912.0,997.0
12,1938.0,55304416.0,965.0
13,1950.0,78647760.0,757.0
14,1951.0,101723632.0,899.0
15,1952.0,128221680.0,989.0
16,1953.0,134102400.0,1098.0
17,1954.0,161256304.0,989.0
18,1955.0,190890736.0,1062.0
19,1956.0,216348208.0,1101.0
20,1957.0,256348096.0,1103.0
21,1958.0,525380960.0,1073.0
22,1959.0,720152146.7,988.0
23,1960.0,778979465.8,923.0
24,1961.0,550958537.3,799.0
25,1962.0,439342105.3,866.0
26,1963.0,435517603.7,950.0
27,1964.0,435703730.3,1050.0
28,1965.0,474680624.9,1134.0
29,1966.0,521458912.9,1147.0
30,1967.0,432223556.9,1151.0
31,1968.0,467805643.0,1093.0
32,1969.0,575944671.2,1172.0
33,1970.0,770167190.3,1291.0
34,1971.0,874016350.7,1355.0
35,1972.0,928893957.8,1307.0
36,1973.0,965646598.3,1372.0
37,1974.0,985085216.0,1378.0
38,1975.0,1142101906.0,1425.0
39,1976.0,1190964535.0,1384.0
40,1977.0,1304402788.0,1413.0
41,1978.0,1455257506.0,1583.0
42,1979.0,1487113084.0,1648.0
43,1980.0,1458886738.0,1690.0
44,1981.0,1442782298.0,1675.0
45,1982.0,1570468325.0,1826.0
46,1983.0,1655810483.0,1907.0
47,1984.0,1802317096.0,2120.0
48,1985.0,1951773228.0,2310.0
49,1986.0,2052242012.0,2409.0
50,1987.0,2191053006.0,2510.0
51,1988.0,2347763494.0,2571.0
52,1989.0,2386884998.0,2509.0
53,1990.0,2420302108.0,2460.0
54,1991.0,2538923968.0,2550.0
55,1992.0,2657112406.0,2731.0
56,1993.0,2835795473.0,2997.0
57,1994.0,3010242208.0,3135.0
58,1995.0,3265056964.0,3302.0
59,1996.0,3408346591.0,3494.0
60,1997.0,3414549286.0,3540.0
61,1998.0,3265902621.0,3554.0
62,1999.0,3258134887.0,3765.0
63,2000.0,3349294776.0,4071.0
64,2001.0,3426144062.0,4400.0
65,2002.0,3782439297.0,4793.0
66,2003.0,4452310296.0,5122.0
67,2004.0,5125894416.0,5595.0
68,2005.0,5771168440.0,6338.0
69,2006.0,6377748016.0,6937.0
70,2007.0,6861750652.0,7482.0
71,2008.0,7375189907.0,7741.0
72,2009.0,7758811768.0,8394.0
73,2010.0,8500542695.0,9475.0
74,2011.0,9388199234.0,10221.0
75,2012.0,9633899303.0,10654.0
76,2013.0,9796527160.0,11088.0
77,2014.0,9820360492.0,11708.0
78,2015.0,9716467840.0,12002.0
79,2016.0,9704479432.0,12320.0
