,year,Germany co2 emission,Germany gdp
0,1800.0,795088.0,958.0
1,1850.0,15139648.0,1386.0
2,1851.0,16869056.0,1367.0
3,1852.0,19173712.0,1385.0
4,1853.0,20760224.0,1373.0
5,1854.0,24365600.0,1402.0
6,1855.0,28615840.0,1379.0
7,1856.0,30924160.0,1487.0
8,1857.0,32939360.0,1548.0
9,1858.0,35610416.0,1529.0
10,1859.0,33807728.0,1520.0
11,1860.0,36394512.0,1592.0
12,1861.0,41329920.0,1587.0
13,1862.0,45539856.0,1701.0
14,1863.0,49383392.0,1863.0
15,1864.0,56641776.0,1952.0
16,1865.0,63467808.0,1996.0
17,1866.0,62907216.0,2053.0
18,1867.0,69154336.0,2102.0
19,1868.0,74368208.0,2274.0
20,1869.0,77592528.0,2331.0
21,1870.0,76639888.0,2362.0
22,1871.0,85349216.0,2390.0
23,1872.0,92109296.0,2602.0
24,1873.0,98367408.0,2706.0
25,1874.0,71594560.0,2890.0
26,1875.0,101518448.0,2889.0
27,1876.0,103438384.0,2846.0
28,1877.0,101302272.0,2808.0
29,1878.0,104544912.0,2920.0
30,1879.0,110846992.0,2831.0
31,1880.0,124502720.0,2792.0
32,1881.0,134263616.0,2854.0
33,1882.0,143665440.0,2895.0
34,1883.0,153092912.0,3050.0
35,1884.0,157526352.0,3115.0
36,1885.0,161183024.0,3184.0
37,1886.0,163033344.0,3192.0
38,1887.0,170390656.0,3300.0
39,1888.0,186347376.0,3411.0
40,1889.0,198848944.0,3484.0
41,1890.0,208232448.0,3572.0
42,1891.0,220840272.0,3542.0
43,1892.0,214988864.0,3667.0
44,1893.0,220712032.0,3827.0
45,1894.0,229498304.0,3893.0
46,1895.0,238284576.0,4044.0
47,1896.0,256260160.0,4143.0
48,1897.0,273554240.0,4215.0
49,1898.0,285377968.0,4346.0
50,1899.0,303283936.0,4454.0
51,1900.0,326759184.0,4596.0
52,1901.0,325557392.0,4442.0
53,1902.0,319189360.0,4496.0
54,1903.0,343598928.0,4695.0
55,1904.0,356122480.0,4833.0
56,1905.0,382323744.0,4887.0
57,1906.0,361937248.0,4984.0
58,1907.0,442182512.0,5153.0
59,1908.0,446641600.0,5191.0
60,1909.0,445571712.0,5246.0
61,1910.0,445366528.0,5386.0
62,1911.0,458586240.0,5396.0
63,1912.0,499121072.0,5487.0
64,1913.0,535083232.0,5587.0
65,1914.0,497926608.0,4606.0
66,1915.0,462906096.0,4290.0
67,1916.0,500696592.0,4267.0
68,1917.0,524578544.0,4217.0
69,1918.0,503422608.0,4184.0
70,1919.0,387427696.0,3561.0
71,1920.0,429208288.0,3777.0
72,1921.0,473179952.0,4079.0
73,1922.0,455460848.0,4328.0
74,1923.0,331929088.0,3502.0
75,1924.0,451793184.0,3992.0
76,1925.0,458065952.0,4316.0
77,1926.0,413236912.0,4312.0
78,1927.0,481042896.0,4613.0
79,1928.0,504888208.0,4682.0
80,1929.0,538970736.0,4533.0
81,1930.0,461733616.0,4624.0
82,1931.0,385595696.0,4413.0
83,1932.0,347317888.0,4213.0
84,1933.0,364853792.0,4615.0
85,1934.0,408645920.0,5181.0
86,1935.0,452368432.0,5716.0
87,1936.0,499681664.0,6187.0
88,1937.0,563563504.0,6525.0
89,1938.0,601335680.0,6968.0
90,1939.0,648681888.0,7557.0
91,1940.0,654368416.0,7566.0
92,1941.0,660839040.0,8013.0
93,1942.0,667928880.0,8069.0
94,1943.0,679466816.0,8294.0
95,1944.0,600273120.0,8583.0
96,1945.0,116064528.0,6381.0
97,1946.0,271696592.0,3139.0
98,1947.0,317672464.0,3456.0
99,1948.0,377842672.0,4027.0
100,1949.0,432187120.0,4674.0
101,1950.0,510732288.0,5536.0
102,1951.0,576918784.0,6120.0
103,1952.0,611041616.0,6718.0
104,1953.0,623565168.0,7230.0
