,year,Russia co2 emission,Russia gdp
0,1960.0,889982973.0,8212.0
1,1961.0,917825759.3,8680.0
2,1962.0,963317909.8,9205.0
3,1963.0,1033106290.0,9465.0
4,1964.0,1098722364.0,9981.0
5,1965.0,1165558338.0,10445.0
6,1966.0,1230917490.0,11109.0
7,1967.0,1287125543.0,11739.0
8,1968.0,1323305250.0,12399.0
9,1969.0,1378150152.0,12653.0
10,1970.0,1449570620.0,13645.0
11,1971.0,1538242126.0,14139.0
12,1972.0,1618414877.0,14462.0
13,1973.0,1686754299.0,15504.0
14,1974.0,1750971645.0,15960.0
15,1975.0,1840500779.0,16498.0
16,1976.0,1911326084.0,16884.0
17,1977.0,1976296765.0,17278.0
18,1978.0,2044124917.0,17480.0
19,1979.0,2061009554.0,17537.0
20,1980.0,2142090695.0,18034.0
21,1981.0,2101221296.0,18138.0
22,1982.0,2140779052.0,18128.0
23,1983.0,2171089109.0,18354.0
24,1984.0,2190289061.0,18292.0
25,1985.0,2362132078.0,18435.0
26,1986.0,2368149967.0,18760.0
27,1987.0,2467724484.0,18616.0
28,1988.0,2535287597.0,18797.0
29,1989.0,2481717228.0,18867.0
30,1990.0,2571210651.0,18323.0
31,1991.0,2437038082.0,17468.0
32,1992.0,1993217628.0,16771.0
33,1993.0,1890935002.0,14117.0
34,1994.0,1669637144.0,11938.0
35,1995.0,1640263218.0,11133.0
36,1996.0,1606949015.0,8541.0
37,1997.0,1502137425.0,8320.0
38,1998.0,1484852223.0,7616.0
39,1999.0,1512984706.0,7421.0
40,2000.0,1499616209.0,8604.0
41,2001.0,1538244400.0,8892.0
42,2002.0,1528961747.0,9248.0
43,2003.0,1562472351.0,10121.0
44,2004.0,1570864198.0,11526.0
45,2005.0,1588662864.0,13406.0
46,2006.0,1648658734.0,15409.0
47,2007.0,1647728940.0,17799.0
48,2008.0,1679794450.0,20022.0
49,2009.0,1572439009.0,17864.0
50,2010.0,1657560679.0,20255.0
51,2011.0,1712424769.0,23130.0
52,2012.0,1726099500.0,23827.0
53,2013.0,1665988574.0,23881.0
54,2014.0,1667110707.0,23798.0
55,2015.0,1671895079.0,23118.0
56,2016.0,1668069933.0,23064.0
